;¿Qué modalidad de estudios se ofrece en el posgrado en física educativa?;El posgrado en física educativa cuenta con una modalidad de estudio a distancia en línea.
;¿Qué ventajas tiene la modalidad de estudios en línea que ofrece el posgrado en física educativa?;La modalidad en línea que ofrece el posgrado en física educativa permite estudiar a distancia y organizar las actividades a conveniencia del alumno.
;¿En cuantos programas educativos está dividido el posgrado en física educativa?;El posgrado en física educativa cuenta con dos programas educativos. Maestría en física educativa y doctorado en física educativa.
;¿Para quiénes está diseñado el posgrado en física educativa?;El posgrado en física educativa está diseñado para profesores en activo y con interés en desarollar investigación educativa para enfrentar la problemática que plantea la incorporación de los conocimientos de la física a un sistema didáctico y con ello favorecer el aprendizaje.
;¿Qué líneas de investigación se desarrollan en el posgrado en física educativa?;Actualmente en el posgrado en física educativa se desarrollan tres líneas de investigación: Didáctica de la física, tecnologías de la información y la comunicación en la enseñanza de la física, formación docente.
;¿En qué consiste la línea de invetigación Didáctica de la Física?;La Didáctica de la Física consiste en el estudio de las teorías y métodos encaminados a provocar que los estudiantes de Física logren la comprensión de fenómenos físicos y poder describir estos de una forma que se puedan generalizar y solucionar.
;¿Cuáles son las sublíneas de investigación de la Didáctica de la Física?;STEM,Diseño curricular,Metodologías Educativas,Didáctica experimental,Formación docente,Neuroeducación
;¿En qué consiste la línea de invetigación Tecnologías de la Información y la Comunicación en la enseñanza de las ciencias?;Esta línea de investigación prioriza el análisis de las políticas educativas relacionadas con las TIC, así como los procesos de innovación, diseño y desarrollo de recursos informáticos, tecnológicos y contenidos digitales, el diseño de ambientes virtuales, y su implementación en el aula a través del e-learning.
;¿Cuáles son las sublíneas de investigación de la línea de investigación Tecnologías de la Información y la Comunicación en la enseñanza de las ciencias?;Laboratorios Virtuales,Simulaciones,Realidad aumentada,Plataformas educativas,Inteligencia artificial en educación,Neuroeducación
;¿En qué consiste la línea de invetigación Epistemología de las Ciencias?;Esta línea de investigación abarca investigaciones con una visión crítica sobre las ciencias que, teniendo como hilo conductor el ámbito educativo, permitan obtener resultados vinculados a aspectos filosóficos, históricos, metodológicos, ontológicos, epistemológicos, sociales, comunicativos, etc., de las ciencias, en especial la física y las matemáticas. 
;¿Cuáles son las sublíneas de investigación de la línea de investigación Epistemología de las Ciencias?;Teorías cognitivas,Historia y epistemología de las ciencias,Filosofía de las ciencias,Comunicación de las ciencias,Neuroeducación
